Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
F26F4.9; -1.0714746058,catp-6; 0.165079633281,F09D1.1; 1.01938604326
F26H11.6; -0.506074805899,cchl-1; -0.0650663240392,F09E5.2; 0.236712469467
F27C1.2; -0.850233876117,cco-2; -0.00967040103358,F09E5.3; 2.22272168363
F27C1.6; -0.386669330379,cct-4; -0.000727029311108,F09E8.2; 0.255260400066
F27D4.7; -1.15645959547,cdh-4; -0.00788057283977,F09F7.3; 1.29043122864
F28B3.6; -0.830192278499,cdk-1; -0.0829688235402,F09G2.2; 1.30159789971
F28C6.1; -3.93432133462,cdk-8; 0.128497169746,F09G2.8; 0.614802406694
F28C6.2; -4.73468309144,cdl-1; -0.105761039314,F09G8.3; 4.05629460111
F28D1.2; -5.95821159916,cfim-1; 0.023954523441,F10B5.8; 0.691035311174
F28H1.1; -1.04651094539,cgp-1; -0.00980742240016,F10C5.2; 0.450476550253
F29G9.7; -7.1303408911,cic-1; 0.108808093553,F10D7.5; 1.05757710798
F31A3.5; -4.06144156909,cku-70; 0.0308295488599,F10E7.5; 1.22551368315
F31C3.2; -0.335408495738,cku-80; 0.0119634865653,F10E9.11; 1.19734564986
F31C3.3; -2.87320429355,clec-87; -0.0395900705963,F10G7.5; 0.40103189786
F31C3.4; -0.326741107807,clk-1; 0.0294323169276,F10G7.9; 1.27853325596
F31D4.2; -1.60315527789,cmd-1; 0.185857146011,F10G8.6; 5.82075898654
F31E3.4; -0.589726452085,cpn-1; -0.0348329214379,F11A10.5; 1.0422714904
F31E8.4; -4.08935816748,crml-1; 0.0845370061238,F12F6.7; 0.779473240287
F32D1.2; -0.563645734354,ctb-1; -0.0893896342834,F13A7.14; 0.775774962344
F32D8.14; -6.81462517176,cul-2; -0.00117351324571,F13D12.5; 1.00425541162
F32D8.5; -1.06289795437,cyb-1; 0.00446749223029,F13E6.1; 0.212677964121
F32E10.5; -1.21842120454,cyc-2.1; -0.141785616381,F13E6.5; 0.442335623097
F32H2.10; -0.42985619789,cyl-1; -0.0987468234705,F13E9.1; 2.02606556472
F33D11.10; -0.607402959578,cyn-11; -0.0314132317738,F13G3.10; 0.682035655414
F33D11.12; -1.45950571662,daf-15; -0.146347227556,F13H8.2; 1.72178942216
F33D11.9; -0.485878816191,daf-21; 0.130987896461,F14B4.2; 1.60999482747
F33D4.7; -0.484174703422,dcap-2; -0.0186382600866,F14B4.3; 0.396314919325
F33D4.8; -0.797454934608,dcn-1; -0.0527760233962,F14D2.15; 0.921377475701
F33G12.5; -0.304491179379,deps-1; 0.00121416876475,F14E5.2; 1.10375927837
